Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Submitter_Id,create_date,version,Library Name,sample_source
ERR9709652,WGS,302,1922200102,PRJEB49334,SAMEA14357402,813333605,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9258974,SAMEA14357402,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:56Z,2022-05-10T13:02:56Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357402,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3543,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3543,2022-05-15T00:52:00Z,1,,MHH329
ERR9709748,WGS,302,2356423856,PRJEB49334,SAMEA14357418,988606405,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259070,SAMEA14357418,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:56Z,2022-05-10T13:02:56Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Citrobacter amalonaticus,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357418,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3559,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3559,2022-05-15T00:54:00Z,1,,MHH364
ERR9709786,WGS,302,2418282214,PRJEB49334,SAMEA14357460,1038128357,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259108,SAMEA14357460,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:51Z,2022-05-10T13:02:51Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357460,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3601,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3601,2022-05-15T00:54:00Z,1,,MHH514
ERR9709827,WGS,302,2010650466,PRJEB49334,SAMEA14357438,843575573,GENOME INSTITRUTE OF SINGAPORE,public,"wgmlst_sig,fastq,sra,run.zq,realign","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259149,SAMEA14357438,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:51Z,2022-05-10T13:02:51Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357438,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3579,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3579,2022-05-15T00:53:00Z,1,,MHH532
ERR9709904,WGS,302,3474322760,PRJEB49334,SAMEA14357474,1287821706,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq,realign,wgmlst_sig","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259226,SAMEA14357474,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:43Z,2022-05-10T13:02:43Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357474,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3615,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3615,2022-05-15T00:58:00Z,1,,MHH609
ERR9709906,WGS,302,3455330282,PRJEB49334,SAMEA14357454,1286934081,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259228,SAMEA14357454,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:59Z,2022-05-10T13:02:59Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357454,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3595,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3595,2022-05-15T00:56:00Z,1,,MHH618
ERR9709943,WGS,302,2264908796,PRJEB49334,SAMEA14357372,962657980,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259265,SAMEA14357372,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:50Z,2022-05-10T13:02:50Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357372,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3513,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3513,2022-05-15T00:53:00Z,1,,MHH389
ERR9709944,WGS,300,2287360800,PRJEB49334,SAMEA14357340,923402439,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259266,SAMEA14357340,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:03:00Z,2022-05-10T13:03:00Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Citrobacter farmeri,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357340,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3481,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3481,2022-05-15T00:54:00Z,1,,MBH040
ERR9709946,WGS,302,2394037956,PRJEB49334,SAMEA14357463,1017535815,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259268,SAMEA14357463,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:58Z,2022-05-10T13:02:58Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357463,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3604,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3604,2022-05-15T00:53:00Z,1,,MHH543
ERR9709948,WGS,302,3219925510,PRJEB49334,SAMEA14357337,1197702752,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259270,SAMEA14357337,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:43Z,2022-05-10T13:02:43Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357337,ena-SAMPLE-TAB-06-05-2022-18:06:29:416-3478,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:416-3478,2022-05-15T00:57:00Z,1,,MHH602
ERR9709950,WGS,302,2925362864,PRJEB49334,SAMEA14357455,1099823712,GENOME INSTITRUTE OF SINGAPORE,public,"realign,run.zq,sra,wgmlst_sig,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259272,SAMEA14357455,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:03:04Z,2022-05-10T13:03:04Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357455,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3596,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3596,2022-05-15T00:54:00Z,1,,MHH618
ERR9709953,WGS,302,2136968006,PRJEB49334,SAMEA14357397,884571555,GENOME INSTITRUTE OF SINGAPORE,public,"realign,sra,run.zq,wgmlst_sig,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9259275,SAMEA14357397,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:48Z,2022-05-10T13:02:48Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357397,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3538,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3538,2022-05-15T00:54:00Z,1,,MHH361
ERR9710900,WGS,302,3386939664,PRJEB49334,SAMEA14357373,1246078712,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,realign,wgmlst_sig,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9260222,SAMEA14357373,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:44Z,2022-05-10T13:02:44Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357373,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3514,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3514,2022-05-15T00:55:00Z,1,,MHH582
ERR9710902,WGS,302,2448395842,PRJEB49334,SAMEA14357453,1037568643,GENOME INSTITRUTE OF SINGAPORE,public,"fastq,realign,sra,run.zq,wgmlst_sig","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9260224,SAMEA14357453,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:43Z,2022-05-10T13:02:43Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357453,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3594,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3594,2022-05-15T00:58:00Z,1,,MHH544
ERR9710905,WGS,302,2435791570,PRJEB49334,SAMEA14357342,1031787989,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9260227,SAMEA14357342,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:03:00Z,2022-05-10T13:03:00Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Citrobacter amalonaticus,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357342,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3483,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3483,2022-05-15T00:54:00Z,1,,MBH041
ERR9710931,WGS,302,2329081984,PRJEB49334,SAMEA14357408,977090212,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,realign,fastq,sra,wgmlst_sig","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9260253,SAMEA14357408,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:58Z,2022-05-10T13:02:58Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357408,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3549,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3549,2022-05-15T00:55:00Z,1,,MHH537
ERR9711051,WGS,302,2285026224,PRJEB49334,SAMEA14357377,964765249,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9260440,SAMEA14357377,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:50Z,2022-05-10T13:02:50Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357377,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3518,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:418-3518,2022-05-15T01:00:00Z,1,,MBH077
ERR9712175,WGS,302,2025301090,PRJEB49334,SAMEA14357404,857206950,GENOME INSTITRUTE OF SINGAPORE,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261497,SAMEA14357404,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:52Z,2022-05-10T13:02:52Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357404,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3545,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:419-3545,2022-05-15T00:59:00Z,1,,MHH362
ERR9712208,WGS,302,2563996912,PRJEB49334,SAMEA14357428,1076359599,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261530,SAMEA14357428,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:55Z,2022-05-10T13:02:55Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357428,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3569,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3569,2022-05-15T01:00:00Z,1,,MHH342
ERR9712237,WGS,302,3769293106,PRJEB49334,SAMEA14357456,1407276189,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261539,SAMEA14357456,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:03:00Z,2022-05-10T13:03:00Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Enterobacter cloacae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357456,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3597,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:421-3597,2022-05-15T01:03:00Z,1,,MHS127
ERR9712241,WGS,302,2041398898,PRJEB49334,SAMEA14357446,857008273,GENOME INSTITRUTE OF SINGAPORE,public,"sra,fastq,run.zq,wgmlst_sig,realign","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261543,SAMEA14357446,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:02:59Z,2022-05-10T13:02:59Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357446,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3587,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3587,2022-05-15T00:59:00Z,1,,MHH531
ERR9712245,WGS,302,2337803140,PRJEB49334,SAMEA14357346,992806263,GENOME INSTITRUTE OF SINGAPORE,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261547,SAMEA14357346,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T16:13:49Z,2022-05-10T16:13:49Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Klebsiella pneumoniae,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357346,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3487,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:417-3487,2022-05-15T01:00:00Z,1,,MBS1120
ERR9712249,WGS,302,2123734064,PRJEB49334,SAMEA14357445,885482274,GENOME INSTITRUTE OF SINGAPORE,public,"realign,wgmlst_sig,run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2022-05-10,2022-05-10,2022-05-10,2022-05-10,ERX9261551,SAMEA14357445,GENOME INSTITRUTE OF SINGAPORE,GENOME INSTITRUTE OF SINGAPORE,2022-05-10T13:03:02Z,2022-05-10T13:03:02Z,public,Illumina HiSeq 4000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2022-05-13T00:00:00Z,SAMEA14357445,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3586,ERP133829,ena-SAMPLE-TAB-06-05-2022-18:06:29:420-3586,2022-05-15T01:00:00Z,1,,MHH518
