Sample_file	Genome_file	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	Contig_name
chng_reads/SRR1950706_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.95	0.547	97.82-98.07	0.547	0.52-0.57	2	2.191	10030/38437	95.76	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950706_1.fastq.gz	../sylph-test/refs/m.restrica.fa	91.70	0.492	91.27-92.12	0.492	0.41-0.58	2	2.469	957/31580	89.33	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950707_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.94	50.000	NA-NA	HIGH	NA-NA	50	49.951	37725/38437	99.94	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950707_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.45	3.148	NA-NA	HIGH	NA-NA	3	3.148	26630/31580	99.45	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950708_1.fastq.gz	../sylph-test/refs/m.globosa.fa	95.74	0.435	95.52-95.95	0.435	0.40-0.48	2	2.350	4232/38437	93.13	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950708_1.fastq.gz	../sylph-test/refs/m.restrica.fa	91.23	0.402	90.67-91.80	0.402	0.33-0.49	1	2.027	730/31580	88.56	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950709_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.90	10.751	NA-NA	HIGH	NA-NA	11	10.751	37268/38437	99.90	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950709_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.70	1.518	99.66-99.73	1.518	1.47-1.55	2	2.169	22674/31580	98.94	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950710_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.55	0.572	99.46-99.64	0.572	0.55-0.59	1	1.335	12188/31580	96.98	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950710_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.55	1.453	99.52-99.58	1.453	1.42-1.48	2	2.137	25864/38437	98.73	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950711_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.82	0.322	98.66-99.00	0.322	0.30-0.34	1	1.193	6135/31580	94.85	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950711_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.71	0.513	98.61-98.84	0.513	0.49-0.53	1	1.312	10531/38437	95.91	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950712_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.70	1.188	99.66-99.75	1.188	1.16-1.22	1	1.769	20277/31580	98.58	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950712_1.fastq.gz	../sylph-test/refs/m.globosa.fa	99.03	0.301	98.87-99.21	0.301	0.28-0.32	1	1.167	7549/38437	94.89	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950713_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.11	0.489	99.01-99.23	0.489	0.47-0.51	1	1.323	9436/31580	96.18	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950713_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.29	0.218	95.92-96.60	0.218	0.20-0.24	1	1.121	2406/38437	91.45	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950714_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.49	0.848	99.43-99.57	0.848	0.82-0.87	1	1.604	15746/31580	97.78	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950714_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.60	0.266	97.34-97.82	0.266	0.25-0.29	1	1.164	4342/38437	93.21	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950715_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.29	0.417	99.18-99.41	0.417	0.40-0.43	1	1.268	8822/31580	95.97	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950715_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.34	0.116	95.76-96.98	0.116	0.09-0.14	1	1.057	1383/38437	89.83	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950716_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.14	0.400	99.02-99.27	0.400	0.38-0.42	1	1.253	8131/31580	95.72	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950716_1.fastq.gz	../sylph-test/refs/m.globosa.fa	96.18	0.118	95.66-96.84	0.118	0.09-0.14	1	1.069	1326/38437	89.71	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950717_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.53	0.389	98.40-98.68	0.389	0.37-0.41	1	1.225	8020/38437	95.07	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950717_1.fastq.gz	../sylph-test/refs/m.restrica.fa	97.97	0.316	97.76-98.18	0.316	0.30-0.34	1	1.183	4642/31580	94.00	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950718_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.95	0.596	98.84-99.07	0.596	0.56-0.62	1	1.337	10487/31580	96.51	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950718_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.01	0.559	97.90-98.10	0.559	0.53-0.58	1	1.317	9046/38437	95.44	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950719_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.92	0.285	98.73-99.15	0.285	0.26-0.30	1	1.197	5722/31580	94.64	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950719_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.64	0.196	97.31-97.92	0.196	0.18-0.22	1	1.135	3356/38437	92.44	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950720_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.11	0.263	98.89-99.32	0.263	0.24-0.28	1	1.169	5646/31580	94.60	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950720_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.94	0.183	97.59-98.26	0.183	0.16-0.20	1	1.111	3472/38437	92.54	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950721_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.60	0.730	99.54-99.68	0.730	0.71-0.75	1	1.461	14702/31580	97.56	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950721_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.40	0.708	98.32-98.50	0.708	0.68-0.73	1	1.403	12054/38437	96.33	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950722_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.73	1.359	99.69-99.77	1.359	1.33-1.39	2	1.905	21828/31580	98.82	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950722_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.54	0.750	98.46-98.64	0.750	0.72-0.78	1	1.439	13105/38437	96.59	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950723_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.85	9.112	NA-NA	HIGH	NA-NA	9	9.112	30140/31580	99.85	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950723_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.52	1.244	98.46-98.58	1.244	1.20-1.28	2	1.789	17430/38437	97.48	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950724_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.86	13.402	NA-NA	HIGH	NA-NA	14	13.402	30224/31580	99.86	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950724_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.56	1.760	98.52-98.59	1.760	1.72-1.81	2	2.246	20495/38437	97.99	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950725_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.53	0.705	99.45-99.61	0.705	0.68-0.73	1	1.432	14051/31580	97.42	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950725_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.43	0.575	98.34-98.56	0.575	0.55-0.59	1	1.321	10507/38437	95.90	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950726_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.69	1.708	99.65-99.73	1.708	1.66-1.75	2	2.223	23700/31580	99.08	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950726_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.51	1.283	98.45-98.57	1.283	1.24-1.32	2	1.805	17636/38437	97.52	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950727_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.33	0.308	98.17-98.48	0.308	0.29-0.33	1	1.170	6200/38437	94.28	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950727_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.25	0.218	97.92-98.56	0.218	0.20-0.24	1	1.150	3662/31580	93.29	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950728_1.fastq.gz	../sylph-test/refs/m.restrica.fa	98.94	0.720	98.85-99.04	0.720	0.69-0.75	1	1.554	11862/31580	96.89	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950728_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.48	1.044	98.42-98.54	1.044	1.01-1.08	1	1.661	15739/38437	97.16	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950729_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.35	0.556	99.24-99.46	0.556	0.53-0.58	1	1.326	11178/31580	96.71	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950729_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.60	0.243	97.35-97.83	0.243	0.22-0.26	1	1.146	4012/38437	92.97	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950730_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.27	0.398	99.17-99.39	0.398	0.38-0.41	1	1.227	8425/31580	95.83	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950730_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.02	0.138	96.52-97.60	0.138	0.11-0.16	1	1.082	1992/38437	90.89	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950731_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.71	1.034	99.65-99.76	1.034	1.01-1.06	1	1.696	18845/31580	98.35	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950731_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.15	0.257	97.95-98.35	0.257	0.24-0.28	1	1.152	5005/38437	93.64	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950732_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.74	1.338	99.70-99.78	1.338	1.31-1.36	2	1.955	21710/31580	98.80	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950732_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.92	0.293	97.73-98.11	0.293	0.27-0.31	1	1.163	5214/38437	93.76	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950733_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.66	1.271	99.62-99.70	1.271	1.24-1.30	2	1.848	20684/31580	98.64	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950733_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.52	1.476	98.48-98.57	1.476	1.44-1.51	2	2.008	18886/38437	97.73	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950734_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.58	0.448	99.47-99.70	0.448	0.43-0.47	1	1.269	10210/31580	96.42	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950734_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.48	0.938	98.41-98.54	0.938	0.91-0.96	1	1.568	14778/38437	96.96	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950735_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.81	8.252	NA-NA	HIGH	NA-NA	8	8.252	29782/31580	99.81	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950735_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.52	0.775	98.45-98.62	0.775	0.75-0.80	1	1.465	13308/38437	96.64	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950736_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.77	5.944	NA-NA	HIGH	NA-NA	6	5.944	29432/31580	99.77	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950736_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.30	0.671	98.21-98.40	0.671	0.64-0.69	1	1.382	11258/38437	96.12	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950737_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.51	0.615	99.41-99.61	0.615	0.59-0.64	1	1.377	12658/31580	97.09	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950737_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.05	0.342	97.87-98.20	0.342	0.32-0.36	1	1.189	6177/38437	94.27	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950738_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.47	0.427	99.35-99.59	0.427	0.41-0.44	1	1.263	9486/31580	96.19	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950738_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.39	0.455	98.28-98.55	0.455	0.43-0.47	1	1.253	8688/38437	95.32	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950739_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.67	1.284	99.63-99.72	1.284	1.25-1.31	2	1.838	20866/31580	98.67	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950739_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.20	0.186	97.90-98.49	0.186	0.17-0.20	1	1.110	3824/38437	92.83	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950740_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.81	1.836	99.78-99.84	1.836	1.78-1.88	2	2.387	25206/31580	99.28	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950740_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.87	0.343	97.71-98.03	0.343	0.32-0.36	1	1.188	5862/38437	94.11	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950741_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.70	1.371	99.66-99.74	1.371	1.33-1.40	2	1.918	21685/31580	98.79	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950741_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.52	0.963	98.46-98.58	0.963	0.94-0.99	1	1.579	15217/38437	97.06	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950742_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.71	4.463	NA-NA	HIGH	NA-NA	4	4.463	28847/31580	99.71	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950742_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.73	1.359	98.69-98.78	1.359	1.32-1.39	2	1.948	19469/38437	97.83	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950743_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.49	0.955	99.43-99.56	0.955	0.93-0.98	1	1.671	16829/31580	97.99	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950743_1.fastq.gz	../sylph-test/refs/m.globosa.fa	97.26	0.447	97.13-97.41	0.447	0.42-0.47	1	1.264	5995/38437	94.18	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950744_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.79	1.827	99.76-99.82	1.827	1.78-1.88	2	2.916	25064/31580	99.26	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950744_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.10	0.519	97.99-98.24	0.519	0.49-0.54	1	1.320	8785/38437	95.35	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
chng_reads/SRR1950745_1.fastq.gz	../sylph-test/refs/m.restrica.fa	99.30	0.373	99.17-99.42	0.373	0.35-0.39	1	1.268	8059/31580	95.69	NC_040193.1 Malassezia restricta chromosome I, complete sequence
chng_reads/SRR1950745_1.fastq.gz	../sylph-test/refs/m.globosa.fa	98.44	0.096	97.88-98.92	0.096	0.08-0.11	1	1.067	2233/38437	91.23	NW_001849832.1 Malassezia globosa CBS 7966 MGL_SF_1028.1, whole genome shotgun sequence
